song_id;genre;title;artist;lyrics
68;Τσιφτετέλι;Μαρτύριο;Βίσση ’ννα;"Γιάννης: Να σε βλέπω δυο λεπτά πριν τη δουλειά Να μιλάω στο κινητό ψιθυριστά, πια δεν μου φτάνει. ’ννα: Ν ανταλλάσσουμε δυο λόγια βιαστικά Να σου κλέβω ένα φιλί στα σκοτεινά, τι να μου κάνει Μαζί: Δεν μπορώ πια να προσέχω μη μας δούνε Δεν αντέχω να φοβάμαι τι θα πούνε, να τρελαινόμαστε, να λατρευόμαστε κι όμως να πρέπει να υποκρινόμαστε Ρ: Μαρτύριο η αγάπη σου λέω Μαρτύριο η αγάπη και κλαίω Μαρτύριο η αγάπη μας είναι βασανιστήριο Να τρελαινόμαστε, να λατρευόμαστε κι όμως πρέπει να υποκρινόμαστε ’ννα: Να σ αγγίζω μπρος τους άλλους τυπικά Να υποφέρω κάθε νύχτα σιωπηλά, και να πονάω... Γιάννης: Να περνάω απ το σπίτι σου κρυφά και μην μπορώ να λέω πουθενά πως σ αγαπάω. Μαζί: Δεν μπορώ πια να προσέχω μη μας δούνε Δεν αντέχω να φοβάμαι τι θα πούνε, να τρελαινόμαστε, να λατρευόμαστε, κι όμως να πρέπει να υποκρινόμαστε Ρ: Μαρτύριο η αγάπη σου λέω Μαρτύριο η αγάπη και κλαίω Μαρτύριο η αγάπη μας είναι βασανιστήριο (Χ2) Να τρελαινόμαστε, να λατρευόμαστε κι όμως πρέπει να υποκρινόμαστε Ρ: Μαρτύριο η αγάπη σου λέω Μαρτύριο η αγάπη και κλαίω Μαρτύριο η αγάπη μας είναι βασανιστήριο (Χ3) Μαρτύριο"
24608;Παραδοσιακό Πόντου;Πυρρίχιος;Μούσχουρη Νανά;Μάνα μάνα καλομάνα Σήκω χτύπα την καμπάνα Γιατί πάλι στη Βλαχέρνα Στράγγιξε του κόσμου η στέρνα Και δεν ήρθε ακόμα εκείνος Της ελευθεριάς ο κρίνος Να τσακίσει με τη φτέρνα Τα φτερά του δράκοντα Τρέμουν Μπογιάροι βρε Κι Οθωμανοί Το παλικάρι βρε Τον Διγενή Μάνα μάνα πικρομάνα Στην Γραβιά στην Αλαμάνα Το τραγούδι μου το είπα Χτύπα την καμπάνα χτύπα Ώσπου να 'ρθει πάλι κάποιος Τώρα που 'ναι ο κόσμος σάπιος Για να λιώσει μες στην τρύπα Την καρδιά του δράκοντα Τρέμουν Μαυάροι βρε Κι Αλαμανοί Το παλικάρι βρε Τον Διγενή Μάνα μάνα μαυρομάνα Βάλε το νερό στη γράνα Για ν αρχίσει τον αγώνα Με κοντάρι και σφεντόνα Κι όταν ο καιρός γυρίσει Κατά του Θεού την κρίση Να σαρώσει απ τον αιώνα Την γενιά του δράκοντα Τρέμουν Χαζάροι βρε Κι Αγαρηνοί Το παλικάρι βρε Τον Διγενή
4863;Ρεμπέτικο;Μια στεναχώρια;Τσαουσάκης Πρόδρομος;"Μια στενοχώρια που έχω απόψε, απ την καρδιά μου βγαίνει καπνός. Τα δάκρυά μου πως να τα κόψω, σε σένα τρέχει ο λογισμός. Αχ, θα με φάει η στενοχώρια που μαστε χώρια, που ζούμε χώρια. Γιατί σε παίρνουν από κοντά μου και κομματιάζονται δύο καρδιές, και κάνουν λύπη κάθε χαρά μου χωρίς να φταίω, χωρίς να φταις; Αχ, θα με φάει η στενοχώρια που μαστε χώρια, που ζούμε χώρια. Πώς θα μπορέσω να συνηθίσω σ αυτή τη μαύρη τη μοναξιά; Πού θα ξανάβρω σ αυτό τον κόσμο σαν τη δική σου χρυσή καρδιά; Αχ, θα με φάει η στενοχώρια που μαστε χώρια, που ζούμε χώρια."
453;Έντεχνο;Εμεινα εδώ;Ρόκκος Στέλιος;"Κάποιο βράδυ σου χα πει πως θέλω να γυρίσω όλο το κόσμο, όλο το κόσμο Και συ μου γέλασες γλυκά και μου πες το φιλί μου μυρίζει δυόσμο, μου μυρίζει δυόσμο Κάποιο βράδυ σου χα πει πως θέλω να πετάξω σαν πουλί πάνω από το κόσμο Και συ ζωγράφισες φτερά σ' ένα λευκό χαρτί και μου πες φως μου, μη φύγεις φως μου Έμεινα εδώ να μη σου λείψει τίποτα Έμεινα εδώ να μη φοβηθείς Να μη μείνεις μόνη σου και 'γω στο τίποτα Έμεινα εδώ να μη μαραθείς Κάποιο βράδυ μου χες πει πως πρέπει να γεννήθηκα για σένα, μόνο για σένα Και 'γω σε πήρα αγκαλιά και χάθηκα στα μάτια σου τα μαγεμένα, τα μαγεμένα Κάποιο βράδυ μου χες πει πως δε μπορείς να ζήσεις μια στιγμή χωρίς εμένα Και γω δε μίλησα ξανά γιατί στα χέρια μου είχα εσένα μόνο εσένα Έμεινα εδώ να μη σου λείψει τίποτα Έμεινα εδώ να μη φοβηθείς Να μη μείνεις μόνη σου και γω στο τίποτα Έμεινα εδώ να μη μαραθείς..."
12144;Αφήγηση;Πολύ έκρυθμες καταστάσεις;Κατσιμίχας Πάνος;"Εμπρός ν αρχίσει ο χορός, ν αρχίσουνε οι τρέλες. Ανοίξτε τις ομπρέλες σας, θα βρέξει καραμέλες! Και έβρεξε ο ουρανός γλυκά και καραμέλες, κουβάδες χαρτοπόλεμο, μπαλόνια και κορδέλες. Και λουκουμάκια έβρεξε, παστέλια και γκοφρέτες, παιχνίδια, κούκλες που μιλούν, ροκάνες και τρομπέτες... Στο χιόνι που εμύριζε σαν παγωτό βανίλια, κάνανε τούμπες και βουτιές και τσαλιμάκια χίλια."
9755;Μπαλάντα;Τώρα που σήμανε η ώρα;Πάριος Γιάννης;"Τώρα, τώρα που σήμανε η ώρα, κάνε κουράγιο και προχώρα κι έχε γεια. Τώρα, τώρα που φεύγεις μακριά μου, φθινόπωρο στα βλέφαρά μου θα 'σαι πια. Δε φταις εσύ, δε φταις εσύ ούτε κι εγώ. Φταίει η ζωή που την πιστέψαμε κι οι δυο. Τώρα, τώρα που σήμανε η ώρα, κάνε κουράγιο και προχώρα κι έχε γεια. Τώρα, τώρα που ξέσπασε η μπόρα, πάρ τη μεγάλη ανηφόρα της ζωής. Τώρα, τώρα τα μάτια σου να κλείσεις κι όπως θα φεύγεις μη γυρίσεις να με δεις. Δε φταις εσύ, δε φταις εσύ ούτε κι εγώ. Φταίει η ζωή που την πιστέψαμε κι οι δυο. Τώρα, τώρα που σήμανε η ώρα, κάνε κουράγιο και προχώρα κι έχε γεια."
38568;Νησιώτικο;Μαυροθαλασσίτισσα;Τζουανάκος Σταύρος;"Μέσα στις θάλασσες γυρνώ γι' αυτά τα δυο σου μάτια που και καράβια χάλασαν και τα 'καναν κομμάτια. Μέσα στις θάλασσες γυρνώ γι' αυτά τα δυο σου μάτια. Αχ τα δυο σου μάτια μαυραθαλασσίτισσα κι αν με κάνανε κομμάτια πάλι τ' αναζήτησα. Με γέλασαν τα μάτια σου μ' όλη την πονηριά μου και έχασα τη βάρκα μου μαζί και την καρδιά μου Με γέλασαν τα μάτια σου μ' όλη την πονηριά μου. Αχ τα δυο σου μάτια μαυραθαλασσίτισσα κι αν με κάνανε κομμάτια πάλι τ' αναζήτησα. Κι αν άδικα, κι αν άδικα την έχασα κανείς δεν θα, κανείς δεν θα το μάθει με τ' άλλα τα ψαράδικα και μια βαρκούλα 'χάθη. Κι αν άδικα την έχασα κανείς δεν θα το μάθει. Αχ τα δυο σου μάτια μαυραθαλασσίτισσα κι αν με κάνανε κομμάτια πάλι τ' αναζήτησα."
428;Λαικό;"Γέλα, ποτέ μην κλαις";Πλούταρχος Γιάννης;Μες στα μαλλιά σου κρέμασα άστρα να σε φωτίζουν απ' της καρδιάς μου το νερό σου έδωσα να πιεις με κοίταζες και η γλυκιά μου έλεγε φωνή σου τα δάκρυά σου στέγνωσαν γέλα ποτέ μην κλαις Φιλώ τα χείλη σου τα δυο και μες στα δυο σου μάτια ξεχνώ το χθες το αύριο το τώρα είν' η ζωή ζωή είναι τα χάδια σου τα δυο τα δυο γλυκά σου λόγια ζωή είν' η ανάσα σου ζωή μου είσαι εσύ Στα όνειρα μου έφερες χρώματα του ουράνιου τόξου γέλια τραγούδια και χαρές γέμισες την καρδιά μου με κοίταζες και η γλυκιά μου έλεγε φωνή σου τα δάκρυά σου στέγνωσαν γέλα ποτέ μην κλαις Φιλώ τα χείλη σου τα δυο και μες στα δυο σου μάτια ξεχνώ το χθες το αύριο το τώρα είν' η ζωή ζωή είναι τα χάδια σου τα δυο τα δυο γλυκά σου λόγια ζωή είν' η ανάσα σου ζωή μου είσαι εσύ Φιλώ τα χείλη σου τα δυο και μες στα δυο σου μάτια ξεχνώ το χθες το αύριο το τώρα είν' η ζωή ζωή είναι τα χάδια σου τα δυο τα δυο γλυκά σου λόγια ζωή είν' η ανάσα σου ζωή μου είσαι εσύ
2229;RAP;Πεδίο μάχης;Vegas;"Θα πολεμήσω μέχρι θανάτου σ'αυτή την μάχη σωστού και λάθους.. Γιατί η αγάπη αυτή, μπορεί να σωθεί παίρνω θέση και βγάζω σπαθί.... Ακούω την καρδιά μου να χτυπάει την νιώθω στην ψυχή μου να μιλάει κατάματα τους φόβους μου κοιτάει και λέει, όποιος αγαπάει πολεμάει... Πλέον δεν φοβάμαι όνειρα να κυνηγήσω κι όλα όσα θέλω αληθινά να διεκδικήσω το φιλί σου το δικό μου οξυγόνο στο δηλώνω ζω για σένα μόνο... Έχουμε δικαίωμα να κάνουμε όλοι λάθη είμαστε θνητοί και βουλιάζουμε στα πάθη Ελπίδα πάντα υπάρχει, ο κόσμος πάντα αλλάζει όταν καταλάβει τι και πόσα έχει χάσει.. Θα πολεμήσω μέχρι θανάτου σ'αυτή την μάχη σωστού και λάθους.. Γιατί η αγάπη αυτή, μπορεί να σωθεί παίρνω θέση και βγάζω σπαθί... στο πεδίο μάχης..... Μου 'χεις λείψει τόσο και πονάει όλο μου το είναι σε ζητάει κάτι τόσο δυνατό χαμένο δεν θα πάει η μάχη αρχίζει ποιος με σταματάει Για σένα γη και ουρανό θα κινήσω μόνος εναντίον όλων θα νικήσω ό,τι χρειαστεί για μας να κάνω θα το κάνω ακόμα και με γίγαντες τα βάζω κι ας πεθάνω Παλεύω, στην κόψη ξυραφιού ακροβατώ να σβήσω λάθη που 'χω κάνει προσπαθώ αλήθεια είτε ψέμα πάω ως το τέρμα τ' όνειρο θα ζήσω κι ας το χτίσαμε με αίμα Θα πολεμήσω μέχρι θανάτου σ'αυτή την μάχη σωστού και λάθους.. Γιατί η αγάπη αυτή, μπορεί να σωθεί παίρνω θέση και βγάζω σπαθί... στο πεδίο μάχης... Κι αν δεν νικήσω... Θεέ μου δως μου φως στην αδύναμη ψυχή μου Δε θα λυγίσω... θάρρος για να ζήσω όπως θέλω την ζωή μου Πέφτω στο χώμα.... όρθιος ως την τελευταία αναπνοή μου. Πριν ξαναγεννηθώ Θα πολεμήσω μέχρι θανάτου σ'αυτή την μάχη σωστού και λάθους.. Γιατί η αγάπη αυτή, μπορεί να σωθεί παίρνω θέση και βγάζω σπαθί... στο πεδίο μάχης...."
6043;Μπαλάντα;Ο ξένος;Βαρδής Αντώνης;"Du ruafst mi an im Winter, und i sag, dass es schneit, wahrend bei dir der Sudwind die Insel niederreit. Was ma im letzten Sommer besprochen habn, da denkst vu druber nach, weil a wenn unser Sprach net dieselbe is, red ma die gleiche Sprach. Ο γιος μου με ρωτάει αν θα 'ρθεις πιο νωρίς. Του είπα πως το Μάη κοντά μας θα βρεθείς. Προβλήματα χιλιάδες γύρω μας κι οι φόροι πιο πολλοί. Με κάποιον όμως φίλο δίπλα σου αντέχεις τη ζωή. I bin a Auslander, a Fremder, i bin dei Nachbar und a Freund, und es gibt afach nur a Abendsonn', die jetzt grad da fur uns zwa scheint. Είν οι καρδιές μας δίχως σύνορα, έχουν τον ίδιο ουρανό, ίδια φεγγάρια σ έναν κόσμο ψεύτικο, άδειο, σκοτεινό. Es is net wichtig, woher ma kummt, nur was ma denkt und wu. Gauner und Deppen gibts auf der Welt uberall gleich vu. Πατρίδα των ανθρώπων τ όνειρο που δένει τις ψυχές, κι οι φίλοι, όπως ξέρεις, φαίνονται στις δύσκολες στιγμές. I bin a Auslander, a Fremder, i bin dei Nachbar und a Freund, und es gibt afach nur a Abendsonn', die jetzt grad da fur uns zwa scheint. Είν οι καρδιές μας δίχως σύνορα, έχουν τον ίδιο ουρανό, ίδια φεγγάρια σ έναν κόσμο ψεύτικο, άδειο, σκοτεινό."
